stop_id,povp_delavnik_postanek,imena
204153,5.93541666666667,Šentjakob
204154,8.30769230769231,Šentjakob
204161,8.5,Reaktor
204162,7.2,Reaktor
204181,12.4142504769053,Center Zalog
204182,9.42589234103075,Center Zalog
204191,8.26503267973856,Zeleni gaj
204192,6.29169000933707,Zeleni gaj
204201,4.40625,Saturnus
204211,9.27564102564103,Agrokombinatska
204212,5.79241071428571,Agrokombinatska
204213,,Agrokombinatska
204214,9.8,Agrokombinatska
204221,6.74509803921569,Podgorica
204222,6.19270833333333,Podgorica
204251,,Trbeže
204252,20.8636363636364,Trbeže
204261,,Podgrad
204262,,Podgrad
204271,17,Cesta v Kresnice
204272,16.25,Cesta v Kresnice
204281,,Pod Debnim vrhom
204282,,Pod Debnim vrhom
204291,5,Pot v mejah
204292,6.2,Pot v mejah
204301,,Ledena dvorana Zalog
204302,4.33333333333333,Ledena dvorana Zalog
204311,,Hladilniška
204312,6,Hladilniška
204321,,Sneberska
204322,4.5625,Sneberska
204341,,Cesta v Zajčjo Dobravo
204342,6,Cesta v Zajčjo Dobravo
204351,8,Cesta na Kope
204352,5.7,Cesta na Kope
204361,,Ostrovrhar
204362,,Ostrovrhar
300011,27.6748325434924,Kolodvor
300012,14.2469611393019,Kolodvor
301011,6.92940344963656,Friškovec
301012,9.18349069516883,Friškovec
303011,9.28722070141188,Tržnica Moste
303012,9.47592254367452,Tržnica Moste
303021,9.52681919198409,Zaloška
303022,6.10007921277206,Kajuhova
303024,5.48430105234519,Zaloška
303032,4.6061582208641,Ob sotočju
303051,5.04082108779341,Pot na Fužine
303052,4.85403828197946,Pot na Fužine
303061,5.93627450980392,Archinetova
303062,12.7461574373339,Archinetova
303071,7.75983715101577,Brodarjev trg
303072,6.12666497778503,Brodarjev trg
303081,4.98288133435192,Nusdorferjeva
303082,4.0890522875817,Nusdorferjeva
304011,8.85837563308152,Preglov trg
304012,6.56832034632782,Preglov trg
304021,5.26382734912147,Osenjakova
304022,5.2739156268568,Osenjakova
304031,6.73032299679659,Rusjanov trg
304032,6.44608525316651,Rusjanov trg
304041,6.99726957070707,Chengdujska
304042,4.81095913890032,Chengdujska
304061,7.35913865546219,Studenec
304062,5.792277820219,Studenec
304071,8.88547975199086,Polje
304072,6.33879976232918,Polje
304074,5.92252435064935,Polje
304081,6.94953314659197,Polje-kolodvor
304082,8.7,Polje-kolodvor
304091,7.14045575167866,Cesta na Vevče
304092,6.50898660163366,Cesta na Vevče
304102,14.5,Vevče
304103,21,Vevče
304111,11.1774509803922,Petrol
304112,5.24297385620915,Petrol
304121,5.2,Vevče Papirnica
304122,4.5,Vevče Papirnica
304131,5.62745098039216,Silos
304132,5.206162464986,Silos
304161,5.38725490196078,Kašeljska
304162,4.8343137254902,Kašeljska
